Node	X Location (m)	Y Location (m)	Z Location (m)	
352	2.4233e-002	0.13668	4.2165e-002	
353	1.7278e-002	0.12835	4.5873e-002	
354	2.0234e-002	0.12526	4.6576e-002	
355	2.1137e-002	0.11947	4.7994e-002	
356	2.1127e-002	0.12902	4.5327e-002	
357	2.2317e-002	0.12266	4.7207e-002	
358	2.1982e-002	0.11158	4.9299e-002	
359	1.7976e-002	9.072e-002	5.1458e-002	
360	2.0332e-002	0.10197	5.0752e-002	
361	2.3887e-002	9.5406e-002	5.0984e-002	
362	2.5696e-002	8.8529e-002	5.124e-002	
363	3.0824e-002	8.2431e-002	5.1337e-002	
364	5.4728e-002	5.8038e-002	5.2057e-002	
365	7.2869e-002	3.8146e-002	5.0137e-002	
366	0.12853	4.0934e-002	5.1108e-002	
367	0.12723	3.3682e-002	5.0374e-002	
368	0.13538	4.052e-002	4.9959e-002	
369	0.12251	4.2045e-002	5.21e-002	
370	0.11246	3.778e-002	5.1925e-002	
371	0.10747	3.9329e-002	5.2111e-002	
372	0.10125	3.9992e-002	5.2171e-002	
373	9.0683e-002	4.2571e-002	5.2208e-002	
374	0.14525	4.5903e-002	4.8873e-002	
375	0.13749	6.1666e-002	5.3719e-002	
376	0.14772	6.0552e-002	5.0115e-002	
377	0.14409	6.5966e-002	5.1826e-002	
378	0.14288	5.6683e-002	5.1327e-002	
379	0.1475	0.11747	4.6362e-002	
380	0.15164	0.12283	4.0898e-002	
381	0.15247	0.10494	4.5618e-002	
382	0.15876	0.10449	4.1633e-002	
383	0.15426	8.8224e-002	4.7072e-002	
384	0.13976	0.13606	4.5163e-002	
385	0.13355	0.14919	4.1827e-002	
386	0.11494	0.16678	3.4722e-002	
387	0.12405	0.15875	4.0055e-002	
388	9.9755e-002	0.17529	2.331e-002	
389	9.6839e-002	0.17679	1.7371e-002	
390	0.10562	0.17289	2.6646e-002	
391	6.5949e-002	0.17712	1.0581e-002	
392	6.0362e-002	0.17454	1.6604e-002	
393	5.0494e-002	0.1692	2.1263e-002	
394	4.7296e-002	0.16965	1.885e-002	
395	4.5251e-002	0.16576	2.3522e-002	
396	4.1036e-002	0.1635	2.4816e-002	
397	3.7809e-002	0.15996	2.7593e-002	
398	3.6635e-002	0.15741	2.9689e-002	
399	3.3209e-002	0.15364	3.2375e-002	
400	3.4459e-002	0.15644	3.0416e-002	
401	2.9819e-002	0.14975	3.5044e-002	
402	3.0096e-002	0.14274	3.9267e-002	
403	2.8694e-002	0.13928	4.0902e-002	
404	2.4901e-002	0.1342	4.3089e-002	
405	2.3863e-002	0.12759	4.5536e-002	
406	2.3272e-002	0.13033	4.4736e-002	
407	2.4557e-002	0.12193	4.741e-002	
408	2.4482e-002	0.12496	4.6398e-002	
409	2.3049e-002	0.11724	4.8307e-002	
410	2.1672e-002	0.10619	5.0193e-002	
411	2.3307e-002	9.9605e-002	5.075e-002	
412	2.6504e-002	9.2346e-002	5.0984e-002	
413	3.0538e-002	8.6786e-002	5.1442e-002	
414	3.1568e-002	7.916e-002	5.1157e-002	
415	4.8723e-002	6.4093e-002	5.214e-002	
416	4.6861e-002	6.6078e-002	5.2309e-002	
417	3.5663e-002	7.1804e-002	5.1136e-002	
418	6.7088e-002	5.1775e-002	5.2631e-002	
419	7.4993e-002	4.8696e-002	5.3234e-002	
420	0.13882	5.2052e-002	5.1532e-002	
421	0.14053	4.6079e-002	5.0171e-002	
422	0.13368	4.6493e-002	5.132e-002	
423	0.12507	5.0309e-002	5.4143e-002	
424	9.7014e-002	4.3713e-002	5.345e-002	
425	8.2721e-002	4.4514e-002	5.2167e-002	
426	0.14212	6.9985e-002	5.3309e-002	
427	0.14759	7.531e-002	5.102e-002	
428	0.14998	0.11121	4.599e-002	
429	0.14628	9.3686e-002	5.1408e-002	
430	0.14937	9.9315e-002	4.8513e-002	
431	0.14522	8.3723e-002	5.2543e-002	
432	0.15033	8.9768e-002	4.8978e-002	
433	0.12737	0.14499	5.1966e-002	
434	0.13237	0.14447	4.7487e-002	
435	0.13476	0.13658	4.9642e-002	
436	0.12855	0.14971	4.6306e-002	
437	0.13967	0.11311	5.3544e-002	
438	0.14091	0.12064	5.0431e-002	
439	0.10487	0.16908	3.9814e-002	
440	0.11163	0.16607	3.9639e-002	
441	0.1214	0.15536	4.7789e-002	
442	9.1735e-002	0.17676	1.8871e-002	
443	0.10131	0.17234	3.3363e-002	
444	6.9188e-002	0.17508	2.4416e-002	
445	7.1893e-002	0.17672	1.7628e-002	
446	7.6451e-002	0.17665	1.9424e-002	
447	6.7884e-002	0.1766	1.5268e-002	
448	4.9739e-002	0.16766	2.5477e-002	
449	6.164e-002	0.17323	2.4495e-002	
450	4.8341e-002	0.16872	2.0482e-002	
451	4.3135e-002	0.16456	2.4144e-002	
452	4.6411e-002	0.16552	2.5409e-002	
453	3.9924e-002	0.1611	2.6932e-002	
454	3.8703e-002	0.15866	2.9088e-002	
455	3.5365e-002	0.15478	3.1735e-002	
456	3.1922e-002	0.15078	3.4326e-002	
457	3.4085e-002	0.15197	3.3715e-002	
458	3.0637e-002	0.14779	3.6212e-002	
459	3.1595e-002	0.14181	4.0545e-002	
460	2.9291e-002	0.14464	3.8028e-002	
461	2.8937e-002	0.13707	4.228e-002	
462	2.7169e-002	0.13563	4.2532e-002	
463	2.561e-002	0.13168	4.3985e-002	
464	2.5433e-002	0.11907	4.8029e-002	
465	2.3903e-002	0.10939	4.9491e-002	
466	2.6192e-002	0.11624	4.8699e-002	
467	2.445e-002	0.1018	5.0402e-002	
468	2.4297e-002	0.1043	5.0178e-002	
469	2.7213e-002	9.6169e-002	5.0871e-002	
470	2.8306e-002	9.8218e-002	5.0953e-002	
471	2.9774e-002	9.063e-002	5.1243e-002	
472	3.6225e-002	7.9241e-002	5.1867e-002	
