Node	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°C)
188	5.6988e-002	4.2799e-002	5.0022e-002	25.613
189	5.115e-002	4.6517e-002	5.0027e-002	25.591
190	5.0408e-002	4.6989e-002	5.0023e-002	25.585
191	4.6206e-002	4.9665e-002	5.0224e-002	25.536
192	4.4409e-002	5.081e-002	5.0367e-002	25.512
193	4.1766e-002	5.2494e-002	5.0449e-002	25.476
201	3.9188e-002	5.4837e-002	5.0304e-002	25.449
202	3.3514e-002	5.9992e-002	5.0597e-002	25.355
203	3.2905e-002	6.0546e-002	5.062e-002	25.345
204	2.8675e-002	6.4389e-002	5.0793e-002	25.265
205	2.5365e-002	6.7397e-002	5.0918e-002	25.202
206	2.2217e-002	7.0258e-002	5.1024e-002	25.146
207	1.7849e-002	7.4227e-002	5.1063e-002	25.084
214	1.7558e-002	7.6927e-002	5.11e-002	25.091
215	1.7032e-002	8.181e-002	5.1343e-002	25.092
216	1.6795e-002	8.4006e-002	5.1368e-002	25.093
217	1.651e-002	8.6652e-002	5.1474e-002	25.089
218	1.6048e-002	9.0939e-002	5.145e-002	25.078
219	1.5504e-002	9.5986e-002	5.1222e-002	25.064
220	1.4771e-002	0.10279	5.0685e-002	25.033
221	5.7526e-002	4.2943e-002	5.0016e-002	25.625
222	6.625e-002	4.1169e-002	5.0137e-002	25.705
223	6.2451e-002	4.8493e-002	5.0715e-002	25.945
224	5.1392e-002	4.7159e-002	5.0017e-002	25.61
225	4.881e-002	5.2694e-002	5.0344e-002	25.675
226	5.7006e-002	5.2725e-002	5.0894e-002	25.967
227	4.6257e-002	5.6623e-002	5.0709e-002	25.691
228	2.9285e-002	7.0543e-002	5.1027e-002	25.32
229	3.1519e-002	6.4861e-002	5.0803e-002	25.341
230	2.4264e-002	7.6418e-002	5.1245e-002	25.219
231	3.8845e-002	6.5574e-002	5.0838e-002	25.603
232	4.5572e-002	5.9874e-002	5.0894e-002	25.754
233	4.3557e-002	6.352e-002	5.0983e-002	25.766
234	4.7567e-002	6.2354e-002	5.1367e-002	25.932
235	5.2762e-002	6.1257e-002	5.264e-002	26.153
236	4.3886e-002	6.7889e-002	5.1706e-002	25.916
237	3.8148e-002	6.8851e-002	5.1002e-002	25.635
238	3.2263e-002	7.2311e-002	5.1067e-002	25.436
239	2.853e-002	7.562e-002	5.1127e-002	25.335
240	1.8835e-002	8.4958e-002	5.1492e-002	25.125
241	2.4895e-002	8.2786e-002	5.1362e-002	25.263
242	1.65e-002	0.10652	5.0437e-002	25.042
243	1.8873e-002	9.8462e-002	5.1106e-002	25.116
244	1.5424e-002	0.11663	4.8943e-002	24.972
245	1.968e-002	0.1143	4.904e-002	25.059
246	5.2517e-002	0.17292	1.5154e-002	24.601
247	5.0641e-002	0.17613	1.0406e-002	24.513
248	4.7996e-002	0.17095	1.7297e-002	24.62
249	5.8437e-002	0.17618	1.0382e-002	24.535
250	0.10455	0.17609	1.5354e-002	24.662
251	0.10143	0.17757	9.2822e-003	24.56
252	9.3923e-002	0.17829	1.1432e-002	24.594
253	0.15578	0.1282	3.5435e-002	25.002
254	0.16276	0.11862	3.43e-002	24.952
255	0.16506	0.10404	3.7648e-002	24.98
256	0.16391	0.11133	3.5974e-002	24.975
257	0.15439	0.11298	4.2223e-002	25.204
258	0.15509	0.12059	3.8829e-002	25.105
259	0.15858	0.1158	3.8262e-002	25.058
260	0.15972	0.10851	3.9935e-002	25.081
261	0.16186	8.9218e-002	4.2945e-002	25.055
262	0.16346	9.6631e-002	4.0296e-002	25.022
263	9.3553e-002	3.4477e-002	5.0568e-002	25.538
264	9.3987e-002	2.7166e-002	5.0159e-002	25.298
265	8.3265e-002	3.2558e-002	5.0169e-002	25.488
266	0.12593	2.643e-002	4.964e-002	24.957
267	0.1338	2.5618e-002	4.8657e-002	24.867
268	0.11136	2.711e-002	5.0398e-002	25.13
269	0.11865	2.677e-002	5.0019e-002	25.045
270	0.14487	1.6669e-002	4.5734e-002	24.713
271	0.14917	2.1402e-002	4.5308e-002	24.725
272	0.13934	2.1143e-002	4.7196e-002	24.777
273	0.14222	2.8451e-002	4.7526e-002	24.826
274	0.14224	4.0106e-002	4.8811e-002	24.976
275	0.13802	3.2862e-002	4.8734e-002	24.92
276	0.13409	3.3268e-002	4.9226e-002	24.976
277	0.11648	4.3157e-002	5.3092e-002	25.563
278	0.12121	3.4794e-002	5.1366e-002	25.191
279	0.11392	3.5134e-002	5.1745e-002	25.311
280	0.10149	3.2033e-002	5.0574e-002	25.378
281	0.10844	3.2402e-002	5.0759e-002	25.308
282	8.8375e-002	3.7581e-002	5.0749e-002	25.702
283	7.627e-002	3.4643e-002	5.0122e-002	25.539
284	7.7849e-002	4.1573e-002	5.084e-002	25.879
285	0.16184	7.677e-002	4.4642e-002	25.011
286	0.16504	7.0635e-002	4.3609e-002	24.922
287	0.16751	7.7074e-002	4.1961e-002	24.908
288	0.15795	5.9437e-002	4.6511e-002	24.964
289	0.1599	6.8104e-002	4.5577e-002	25.
290	0.16629	8.2284e-002	4.1486e-002	24.944
291	0.1507	7.0266e-002	4.9932e-002	25.24
292	0.15627	7.3518e-002	4.7287e-002	25.123
293	0.15432	6.4852e-002	4.8222e-002	25.088
294	0.15811	4.9191e-002	4.5836e-002	24.875
295	0.15264	3.8239e-002	4.6418e-002	24.832
296	0.15017	4.4649e-002	4.7324e-002	24.928
297	0.14854	2.9102e-002	4.6243e-002	24.785
298	0.14743	3.3345e-002	4.6972e-002	24.831
299	0.14826	5.17e-002	4.8935e-002	25.05
300	0.1531	5.5569e-002	4.7723e-002	25.01
301	0.16185	8.2994e-002	4.3794e-002	25.039
302	0.15545	9.5812e-002	4.5414e-002	25.248
303	0.16025	9.9928e-002	4.1531e-002	25.098
304	0.15306	8.0635e-002	4.8731e-002	25.27
305	0.15746	8.4927e-002	4.5838e-002	25.161
306	0.13801	0.15207	3.4892e-002	25.006
307	0.14668	0.13719	3.8795e-002	25.103
308	0.14235	0.14463	3.6843e-002	25.067
309	0.14622	0.14225	3.4739e-002	25.021
310	0.13737	0.14395	4.3007e-002	25.201
311	0.15123	0.13269	3.7115e-002	25.058
312	0.14215	0.12817	4.7318e-002	25.396
313	0.14896	0.12818	4.1377e-002	25.185
314	0.14442	0.13268	4.3056e-002	25.242
315	0.12197	0.167	2.7487e-002	24.876
316	0.11326	0.17155	2.1421e-002	24.777
317	0.13141	0.15986	3.1147e-002	24.944
318	0.12669	0.16343	2.9317e-002	24.914
319	0.11839	0.16307	3.9464e-002	25.071
320	0.12018	0.16503	3.3476e-002	24.975
321	0.1249	0.16146	3.5305e-002	25.01
322	0.12972	0.15443	4.0646e-002	25.117
323	0.11149	0.17049	2.9981e-002	24.907
324	0.10802	0.17329	2.2668e-002	24.792
325	5.4249e-002	0.17762	7.9231e-003	24.484
326	4.3648e-002	0.17265	1.5403e-002	24.574
327	5.417e-002	0.17074	2.2314e-002	24.737
328	4.3983e-002	0.16943	1.8921e-002	24.631
329	4.1044e-002	0.16924	1.9252e-002	24.625
330	3.8476e-002	0.16493	2.35e-002	24.683
331	4.5948e-002	0.16715	2.2001e-002	24.703
332	3.4449e-002	0.16339	2.5132e-002	24.689
333	3.8951e-002	0.16255	2.5548e-002	24.727
334	3.4847e-002	0.16077	2.7087e-002	24.725
335	3.1245e-002	0.16011	2.8034e-002	24.716
336	3.6883e-002	0.16164	2.6307e-002	24.726
337	3.573e-002	0.159	2.8336e-002	24.761
338	3.2633e-002	0.1578	2.9541e-002	24.752
339	2.9177e-002	0.15565	3.1406e-002	24.755
340	2.667e-002	0.15195	3.4104e-002	24.778
341	3.2398e-002	0.15548	3.1144e-002	24.784
342	2.9508e-002	0.15274	3.3238e-002	24.794
343	2.2595e-002	0.15016	3.5636e-002	24.766
344	2.8112e-002	0.14777	3.6363e-002	24.846
345	2.2741e-002	0.14487	3.8544e-002	24.815
346	2.5255e-002	0.14687	3.7179e-002	24.82
347	2.4548e-002	0.14138	4.0047e-002	24.877
348	2.1019e-002	0.13689	4.2476e-002	24.877
349	2.7093e-002	0.14352	3.874e-002	24.892
350	2.6384e-002	0.13788	4.1502e-002	24.961
351	2.1108e-002	0.13309	4.3957e-002	24.918
352	2.4233e-002	0.13668	4.2165e-002	24.93
353	1.7278e-002	0.12835	4.5873e-002	24.91
354	2.0234e-002	0.12526	4.6576e-002	24.983
355	2.1137e-002	0.11947	4.7994e-002	25.054
356	2.1127e-002	0.12902	4.5327e-002	24.961
